,Name,National ID,Barcode,Location,Date,Season,Country,Province,Species,Species (English),Breed/subspecies,Sex,Date of birth,Age (days),Age_category,Country of birth,Born at current residence,Bodyweight (kg),Breed line,Breed country of origin,Breed_type,White_breed,Traditional use,Establishment type,Husbandry intensity,Inside/outside,Additional outside access,Outdoor_access,Outside environment,Soil present,Bedding material,Bedding_present,Straw_present,Slatted floor,No. animals in enclosure,Housed with other species,Other species,Weaning age (days),Given formula milk,Creep feed,Creep_what,Creep_consistency,Water content (%),PSS,Dietary regimen,Feed name,Feed ingredients,Crude protein,Protein_category,Crude fat,Crude ash,Crude fibre,Fibre_category,Carbohydrates,Calcium,Phosphorous,Sodum,Lysine,Methionine,Organic/standard,Environmental food,Dietary supplementation,Purely_commercial_diet,Dairy_in_diet,First_feed_ingredient,Acetic_acid_mM/g,Propionic_acid_mM/g,Isobutyric_acid_mM/g,Butyric_acid_mM/g,Isovaleric_acid_mM/g,Valeric_acid_mM/g,Isocaproic_acid_mM/g,Caproic_acid_mM/g,Enanthic_acid_mM/g,Total_SCFA_mM/g,Total_BCFA_mM/g,Total_MCFA_mM/g,Total_VFA_mM/g,AA%,PA%,IBA%,BA%,IVA%,VA%,ICA%,CA%,EA%,SCFA%,BCFA%,MCFA%,Ratio_AA,Ratio_PA,Ratio_BA,Medical conditions,Medication,Antibiotics,Recent_antibiotics,Worming,Immunisations,Farrowed,Last farrowing,Gestating,Nursing,Parity,Castrated,Chemical/physical,Seq_run,Relatives/cohabitants,Sample storage information,Additional information,ID,numerical_age_category,DMM_cluster,cluster_lda,Simpson
04BE18,WP2 12,66162,bc1007----bc1075,04BE,30/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,96.0,Growing,Belgium,Yes,"35,9",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,81.06312292,5.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"147,093441","67,02365373","2,951239446","42,29910402","2,92151915","9,8784345","0,604302044","1,558334125","0,955839577",266.2946333,"6,477060639","2,514173702","275,2858676","53,43","24,35","1,07","15,37","1,06","3,59","0,22","0,57","0,35","96,73","2,35","0,91","0,57","0,26","0,16",,,,,,,,,,,,,,NAMES04,,,,04BE18,2,2,cluster 2,0.975956521
04BE19,WP2 17,66163,bc1008----bc1075,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,"35,8",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,No,,21,,,,,76.67560322,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"179,4895248","81,5351707","8,555093426","47,79774597","11,05041613","11,32223889","0,567473932","1,956181171","1,035732632",320.1446804,"20,17298348","2,991913802","343,3095777","52,28","23,75","2,49","13,92","3,22","3,30","0,17","0,57","0,30","93,25","5,88","0,87","0,58","0,26","0,15",,,,,,,,,,,,,,NAMES04,,,,04BE19,2,6,cluster 2,0.986935849
04BE20,WP2 18,66202,bc1012----bc1075,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"46,5",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,74.78991597,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES04,,,,04BE20,2,1,cluster 5,0.988888889
04BE21,WP2 19,66158,bc1015----bc1075,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,44,,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,No,,21,,,,,77.71260997,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"151,5483902","61,54308733","7,66278156","32,65148862","9,610188043","5,64199666","0,546619937","1,819592123","1,000921121",251.3849628,"17,81958954","2,820513244","272,0250656","55,71","22,62","2,82","12,00","3,53","2,07","0,20","0,67","0,37","92,41","6,55","1,04","0,62","0,25","0,13",,,,,,,,,,,,,,NAMES04,,,,04BE21,2,1,cluster 5,0.986210832
04BE22,WP2 20,66209,bc1020----bc1075,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,"42,2",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,74.9244713,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"144,8862922","57,65162368","5,610528912","43,82885788","7,45773371","7,613410863",0,"2,280591587","1,029046374",253.9801846,"13,06826262","3,309637961","270,3580852","53,59","21,32","2,08","16,21","2,76","2,82","0,00","0,84","0,38","93,94","4,83","1,22","0,59","0,23","0,18",,,,,,,,,,,,,,NAMES04,,,,04BE22,2,6,cluster 2,0.991339617
04BE23,WP2 21,66149,bc1022----bc1075,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"39,8",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,77.87356322,5.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,,,,,,,,,,247.7751353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES04,,,,04BE23,2,6,cluster 2,0.992048072
04BE24,WP2 22,66130,bc1024----bc1075,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"39,8",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,No,,21,,,,,77.5974026,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"161,4703973","58,46193592","5,934283813","41,32899264","6,62105789","5,986985654",0,"1,573872308","0,897398149",267.2483116,"12,5553417","2,471270457","282,2749237","57,20","20,71","2,10","14,64","2,35","2,12","0,00","0,56","0,32","94,68","4,45","0,88","0,62","0,22","0,16",,,,,,,,,,,,,,NAMES04,,,,04BE24,2,1,cluster 5,0.981807002
04BE25,WP2 23,66168,bc1005----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,"36,6",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,78.63501484,5.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,,,,,,,,,,252.5396827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES04,,,,04BE25,2,1,cluster 2,0.992441974
04BE26,WP2 24,66131,bc1007----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"45,1",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,No,,21,,,,,78.65497076,5.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"254,0205574","97,76398564","7,070838764","64,8034891","7,656380329","8,169123795","0,585604124","1,741079871","0,938814599",424.7571559,"15,31282322","2,67989447","442,7498736","57,37","22,08","1,60","14,64","1,73","1,85","0,13","0,39","0,21","95,94","3,46","0,61","0,61","0,23","0,16",,,,,,,,,,,,,,NAMES04,,,,04BE26,2,2,cluster 2,0.978623105
04BE27,WP2 25,66153,bc1008----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"41,3",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,77.15133531,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"100,8462764","39,23108717","4,107849701","27,01562635","4,67019621","3,615068639","0,507295912","1,465749896","0,962115339",170.7080585,"9,285341823","2,427865235","182,4212656","55,28","21,51","2,25","14,81","2,56","1,98","0,28","0,80","0,53","93,58","5,09","1,33","0,60","0,23","0,16",,,,,,,,,,,,,,NAMES04,,,,04BE27,2,1,cluster 5,0.996017449
04BE28,WP2 26,66135,bc1012----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,"36,8",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,No,,21,,,,,78.17589577,5.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"176,7349752","64,55622863","4,775688595","56,85583104","5,398468818","4,362834568","0,5759892","1,48664886","0,940866576",302.5098695,"10,75014661","2,427515436","315,6875315","55,98","20,45","1,51","18,01","1,71","1,38","0,18","0,47","0,30","95,83","3,41","0,77","0,59","0,22","0,19",,,,,,,,,,,,,,NAMES04,,,,04BE28,2,1,cluster 5,0.990090652
04BE29,WP2 27,66095,bc1015----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"44,7",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,75.23809524,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"162,4097365","65,78961923","7,620051546","43,4309601","9,892253046","8,491119379","0,568132461","2,318912302","1,112611702",280.1214352,"18,08043705","3,431524005","301,6333962","53,84","21,81","2,53","14,40","3,28","2,82","0,19","0,77","0,37","92,87","5,99","1,14","0,60","0,24","0,16",,,,,,,,,,,,,,NAMES04,,,,04BE29,2,1,cluster 2,0.992420486
04BE30,WP2 28,66138,bc1020----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,"41,2",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,No,,21,,,,,74.6835443,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"171,0346211","62,26126889","8,424707031","36,44990111","10,46958662","5,820971254","0,558246486","1,359282353","0,948506412",275.5667623,"19,45254013","2,307788765","297,3270912","57,52","20,94","2,83","12,26","3,52","1,96","0,19","0,46","0,32","92,68","6,54","0,78","0,63","0,23","0,14",,,,,,,,,,,,,,NAMES04,,,,04BE30,2,1,cluster 5,0.981135756
04BE31,WP2 29,66082,bc1022----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"43,2",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,No,,42,,,,,77.60416667,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"120,0472552","46,14193397","3,498335516","33,94319514","4,323501364","5,033278434",0,"1,404408551","0,883955868",205.1656628,"7,82183688","2,288364419","215,2758641","55,76","21,43","1,63","15,77","2,01","2,34","0,00","0,65","0,41","95,30","3,63","1,06","0,60","0,23","0,17",,,,,,,,,,,,,,NAMES04,,,,04BE31,2,1,cluster 2,0.991431425
04BE32,WP2 30,66146,bc1024----bc1076,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,"27,3",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,,,,,,,,77.18832891,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"123,0251277","50,47001704","4,410857136","36,76739786","5,116730729","5,13538353",0,"1,115459475",0,215.3979261,"9,527587865","1,115459475","226,0409735","54,43","22,33","1,95","16,27","2,26","2,27","0,00","0,49","0,00","95,29","4,21","0,49","0,59","0,24","0,17",,,,,,,,,,,,,,NAMES04,,,,04BE32,2,2,cluster 2,0.969229749
04BE33,WP2 31,66096,bc1005----bc1082,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,97.0,Growing,Belgium,Yes,"54,5",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,Yes,,,,,,,,,72.13114754,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"180,3705283","69,81646233","5,344590557","44,42831383","5,814029545","7,225571239","0,579436576","1,417878833","0,943028436",301.8408757,"11,73805668","2,360907269","315,9398397","57,09","22,10","1,69","14,06","1,84","2,29","0,18","0,45","0,30","95,54","3,72","0,75","0,61","0,24","0,15",,,,,,,,,,,,,,NAMES04,,,,04BE33,2,6,cluster 2,0.993135232
04BE34,WP2 32,66005,bc1007----bc1082,04BE,31/05/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,97.0,Growing,Belgium,Yes,"40,6",,Belgium,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,,,,,,,,,71.47435897,4.0,,,"Tarwe, gerst, sojaschroot, maïs, getoaste sojabonen, tarweglutenvoer, tarwevoer, producten uit de bakkerij- en deegwarensector, gedroogde suikerbietenpulp, calciumcarbonaat, natriumchloride, monocalciumfosfaat, visolie","17,4",Medium,"4,5","5,1",4.4,High,"68,6","0,6","0,5","0,2","1,15","0,39",Standard,,,Yes,No,Wheat,"158,480289","52,77383516","7,849707917","36,18058666","9,884364749","6,929165482","0,574356066","2,016484816","1,060834731",254.3638763,"18,30842873","3,077319547","275,7496246","57,47","19,14","2,85","13,12","3,58","2,51","0,21","0,73","0,38","92,24","6,64","1,12","0,64","0,21","0,15",,,,,,,,,,,,,,NAMES04,,,,04BE34,2,1,cluster 6,0.98348514
04BE35,,,Kinnex16S_Fwd_12--Kinnex16S_Rev_21,04BE,,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,18.0,Lactation,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,,No,No,No,,No,,21,No,,,,66.57223796,2.0,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,112.061841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE35,4,2,cluster 3,0.994732526
04BE36,,,Kinnex16S_Fwd_12--Kinnex16S_Rev_22,04BE,,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,18.0,Lactation,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,Straw,Yes,Yes,No,,No,,21,No,,,,85.71428571,6.0,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,121.3834692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE36,4,2,cluster 1,0.979477218
04BE37,,,Kinnex16S_Fwd_12--Kinnex16S_Rev_23,04BE,,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,18.0,Lactation,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,Straw,Yes,Yes,No,,No,,21,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,102.6572451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE37,4,2,cluster 1,0.978561324
04BE38,,,Kinnex16S_Fwd_12--Kinnex16S_Rev_24,04BE,,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,18.0,Lactation,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,,No,No,No,,No,,21,No,,,,64.85148515,2.0,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,125.0398108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE38,4,2,cluster 3,0.992288599
04BE39,,,Kinnex16S_Fwd_12--Kinnex16S_Rev_25,04BE,11/04/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,47.0,Nursery,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,,No,No,No,,No,,21,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE39,1,5,cluster 2,0.981743339
04BE40,,,Kinnex16S_Fwd_12--Kinnex16S_Rev_26,04BE,11/04/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,47.0,Nursery,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,,No,No,No,,No,,21,No,,,,78.72340426,5.0,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE40,1,1,cluster 2,0.988738962
04BE41,,,Kinnex16S_Fwd_03--Kinnex16S_Rev_26,04BE,07/03/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Female,23/02/2023,12.0,Lactation,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,,No,No,No,,No,,21,No,,,,72.25806452,4.0,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE41,4,3,cluster 3,0.988723548
04BE42,,,Kinnex16S_Fwd_11--Kinnex16S_Rev_27,04BE,07/03/2023,Spring,Belgium,Namur,Sus scrofa domesticus,Domestic pig,Piétrain x Belgian Landrace,Male,23/02/2023,12.0,Lactation,Belgium,Yes,,,,Commercial,Yes,,Research farm,Small-scale,Inside,No,No,,No,,No,No,No,,No,,21,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES05,,,,04BE42,4,2,cluster 4,0.982969919
05BE01,A40R,192134R,bc1020--bc1089,05BE,16/06/2022,Summer,Belgium,Liège,Sus scrofa domesticus,Domestic pig,Piétrain,Male,15/09/2019,1005.0,Mature,Belgium,No,,,Belgium,Commercial,Yes,General lean meat,Insemination centre,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,No,8,No,,,,,,,71.47335423,4.0,,Granule verrat CIAP,"Froment graineterie, orge, maïs cc et triage, maïs français, protigrain, pois européens, tX colza, TX lin S6, TX tournesol 28/1, pulpes fabrication, amyplus, Tx palmiste, mélasse, Tx soya 49, craie fine, huile soya, phosphate monocalcique, porc engrais 0.5, L-lysine HCl, sel, Rovimix stay-C35%, L-thréonine, natuphos E, DL-méthionine, triptophane, Rovimix E 50, Microvit-lutavit AD3",16,Medium,"4,597","6,073",6.5,High,"66,83","1,015","0,597","0,15","0,925","0,285",Standard,,,Yes,No,Wheat,"373,8323293","113,3961308","12,77799894","40,5225033","14,20591205","8,324046247","0,611927466","1,177815573",0,536.0750097,"27,59583845","1,177815573","564,8486637","66,18","20,08","2,26","7,17","2,51","1,47","0,11","0,21","0,00","94,91","4,89","0,21","0,71","0,21","0,08",,,,No,,,,,,,,No,,NAMES02,,Frozen in dry ice,,05BE01,5,3,cluster 4,0.98371056
05BE02,Zidane,185T470,bc1022--bc1089,05BE,16/06/2022,Summer,Belgium,Liège,Sus scrofa domesticus,Domestic pig,Piétrain,Male,13/11/2018,1311.0,Mature,Belgium,No,,,Belgium,Commercial,Yes,General lean meat,Insemination centre,Small-scale,Inside,No,No,,No,Sawdust,Yes,No,No,8,No,,,,,,,69.07894737,3.0,,Granule verrat CIAP,"Froment graineterie, orge, maïs cc et triage, maïs français, protigrain, pois européens, tX colza, TX lin S6, TX tournesol 28/1, pulpes fabrication, amyplus, Tx palmiste, mélasse, Tx soya 49, craie fine, huile soya, phosphate monocalcique, porc engrais 0.5, L-lysine HCl, sel, Rovimix stay-C35%, L-thréonine, natuphos E, DL-méthionine, triptophane, Rovimix E 50, Microvit-lutavit AD4",16,Medium,"4,597","6,073",6.5,High,"66,83","1,015","0,597","0,15","0,925","0,285",Standard,,,Yes,No,Wheat,"272,2463117","89,94333118","10,14871993","39,27194789","11,03989877","6,394238812","0,579010201","1,137275387","0,976067104",407.8558296,"21,76762891","2,113342492","431,736801","63,06","20,83","2,35","9,10","2,56","1,48","0,13","0,26","0,23","94,47","5,04","0,49","0,68","0,22","0,10",,,,No,,,,,,,,No,,NAMES02,,Frozen in dry ice,,05BE02,5,3,cluster 4,0.985542877
